model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Size_0,0.5025,"[0.6436, 0.1161, 0.5676]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4925,"[0.6232, 0.5067, 0.4333, 0.4029]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_10,MLP,RAVEN,center_single,Color,0.708,"[0.9691, 0.5672, 0.6371, 0.6217]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,center_single,Type,0.8935,"[0.9405, 0.8113, 0.927]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,center_single,Size,0.524,"[0.7826, 0.2222, 0.5885, 0.5144]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.3985,"[0.7505, 0.4578, 0.3777, 0.025]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.611,"[0.7449, 0.7793, 0.3029]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.796,"[0.7273, 0.7368, 0.9144]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.468,"[0.4307, 0.0, 0.7577]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.492,"[0.3747, 0.6762, 0.6222, 0.2843]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_8,linear,RAVEN,center_single,Color,0.616,"[0.7582, 0.3025, 0.6165, 0.7607]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,center_single,Type,0.682,"[0.8065, 0.7275, 0.5127]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_8,linear,RAVEN,center_single,Size,0.465,"[0.5375, 0.4023, 0.7325, 0.1893]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
